rep,start,end,peak_idx,peak_time,rms,mdf,env_peak,rep_duration,is_fatigued,file_id,rms_rel_base,rms_delta_base,mdf_rel_base,mdf_delta_base,env_peak_rel_base,env_peak_delta_base,rep_duration_rel_base,rep_duration_delta_base,rms_diff1,rms_roll3_mean,mdf_diff1,mdf_roll3_mean,env_peak_diff1,env_peak_roll3_mean,peak_time_diff1
6,25053,30542,27888,13.944,426.0413937644928,70.3125,740.6725486620459,5489,0,10-02,1.1609951918118204,59.079155877476126,0.9818181818044721,-1.3020833333333286,1.3695913580376349,199.87434318715168,1.076696743820895,391.0,26.85241476080563,407.66348499307014,-1.953125,71.61458333333333,184.8253184411634,638.161510014907,2.835000000000001
7,30542,35398,33196,16.598,418.3643975166965,70.3125,650.813555463044,4856,0,10-02,1.1400747933207391,51.40215962967983,0.9818181818044721,-1.3020833333333286,1.2034314257576688,110.01534998814986,0.9525304040798445,-242.0,-7.676996247796296,414.53159009495886,0.0,70.96354166666667,-89.85899319900182,649.1111114486574,2.653999999999998
8,35398,40685,37601,18.8005,462.4707670758484,66.40625,635.4381901604186,5287,0,10-02,1.2602680039709628,95.50852918883174,0.9272727272597792,-5.208333333333329,1.1750005523802407,94.63998468552438,1.0370733621025818,189.0,44.106369559151915,435.62551945234594,-3.90625,69.01041666666667,-15.375365302625482,675.6414314285029,2.2025000000000006
9,40685,46600,43769,21.8845,497.44339583958475,68.359375,772.7260157765423,5915,1,10-02,1.355571076475139,130.48115795256808,0.9545454545321256,-3.2552083333333286,1.4288620190530315,231.92781030164815,1.1602589250684268,817.0,34.97262876373634,459.4261868107099,1.953125,68.359375,137.28782561612377,686.3259204666683,3.0839999999999996
10,46600,52460,49431,24.7155,521.2701540453302,64.453125,774.7833293224569,5860,1,10-02,1.4205008042391616,154.3079161583135,0.8999999999874327,-7.161458333333329,1.4326662357184772,233.9851238475627,1.1494703805411632,762.0,23.82675820574542,493.72810565358776,-3.90625,66.40625,2.0573135459145533,727.6491784198059,2.8309999999999995
11,52460,58847,55489,27.7445,478.1432196810464,60.546875,776.667370622807,6387,1,10-02,1.302976628965725,111.18098179402972,0.8454545454427399,-11.067708333333329,1.4361500514583836,235.86916514791278,1.2528442526478514,1289.0,-43.126934364283784,498.95225652198707,-3.90625,64.453125,1.884041300350077,774.7255719072688,3.029
12,58847,68600,62205,31.1025,524.1196219072929,64.453125,793.7873973991897,9753,1,10-02,1.4282658208206014,157.1573840202762,0.8999999999874327,-7.161458333333329,1.4678070107512078,252.98919192429548,1.9131031777163763,4655.0,45.97640222624648,507.84433187788983,3.90625,63.151041666666664,17.1200267763827,781.7460324481513,3.3580000000000005
1,0,6743,4173,2.0865,316.88318316017063,70.3125,594.5056281758973,6743,0,10-03,0.8720151541845105,-46.508647404564044,0.9818181818044721,-1.3020833333333286,1.0189050436961449,11.030620516429622,1.196203654425901,1106.0,0.0,316.88318316017063,0.0,70.3125,0.0,594.5056281758973,0.0
2,6743,11764,9314,4.657,352.83121892354575,72.265625,564.8163431225041,5021,0,10-03,0.9709387753000722,-10.560611641188927,1.0090909090768185,0.6510416666666714,0.9680214845657601,-18.658664536963556,0.890722015256184,-616.0,35.94803576337512,334.85720104185816,1.953125,71.2890625,-29.689285053393178,579.6609856492007,2.5705
3,11764,16911,14214,7.107,420.4610896104877,72.265625,591.1030516800015,5147,0,10-03,1.157046070507162,57.06925904575303,1.0090909090768185,0.6510416666666714,1.0130734717329533,7.628044020533821,0.9130743303173827,-490.0,67.62987068694196,363.3918305647347,0.0,71.61458333333333,26.286708557497377,583.4750076594677,2.45
